jd,field,scimaglim,fid,status
2458598.8914582995,584,21.28,2,1
2458598.8914582995,584,21.43,2,1
2458598.8914582995,584,21.4,2,1
2458598.8914582995,584,21.48,2,1
2458598.8914582995,584,21.31,2,1
2458598.8914582995,584,21.15,2,1
2458598.8914582995,584,21.4,2,1
2458598.8914582995,584,21.25,2,1
2458598.8914582995,584,21.21,2,1
2458598.8914582995,584,21.42,2,1
2458598.8914582995,584,21.22,2,1
2458598.8914582995,584,21.38,2,1
2458598.8914582995,584,21.44,2,1
2458598.8914582995,584,21.44,2,1
2458598.8914582995,584,21.47,2,1
2458598.8914582995,584,21.4,2,1
2458598.8914582995,584,21.45,2,1
2458598.8914582995,584,21.35,2,1
2458598.8914582995,584,21.31,2,1
2458598.8914582995,584,21.37,2,1
2458598.8914582995,584,21.46,2,1
2458598.8914582995,584,21.24,2,1
2458598.8914582995,584,21.16,2,1
2458598.8914582995,584,21.37,2,1
2458598.8914582995,584,21.45,2,1
2458598.8914582995,584,21.35,2,1
2458598.8914582995,584,21.45,2,1
2458598.8914582995,584,21.35,2,1
2458598.8914582995,584,21.48,2,1
2458598.8914582995,584,21.39,2,1
2458598.8914582995,584,21.37,2,1
2458598.8914582995,584,21.49,2,1
2458598.8914582995,584,21.47,2,1
2458598.8914582995,584,21.36,2,1
2458598.8914582995,584,21.43,2,1
2458598.8914582995,584,21.41,2,1
2458598.8914582995,584,21.4,2,1
2458598.8914582995,584,21.22,2,1
2458598.8914582995,584,21.45,2,1
2458598.8914582995,584,21.51,2,1
2458598.8914582995,584,21.38,2,1
2458598.8914582995,584,21.45,2,1
2458598.8914582995,584,21.5,2,1
2458598.8914582995,584,21.33,2,1
2458598.8914582995,584,21.47,2,1
2458598.8914582995,584,21.46,2,1
2458598.8914582995,584,21.44,2,1
2458598.8914582995,584,21.23,2,1
2458598.8914582995,584,21.44,2,1
2458598.8914582995,584,21.27,2,1
2458598.8914582995,584,21.47,2,1
2458598.8914582995,584,21.5,2,1
2458598.8914582995,584,21.5,2,1
2458598.8914582995,584,21.14,2,1
2458598.8914582995,584,21.42,2,1
2458598.8914582995,584,21.5,2,1
2458598.8914582995,584,21.32,2,1
2458598.8914582995,584,21.21,2,1
2458598.8914582995,584,21.43,2,1
2458598.8914582995,584,21.41,2,1
2458598.8914582995,584,21.4,2,1
2458598.8914582995,584,21.01,2,1
2458598.8914582995,584,21.49,2,1
2458598.8914582995,584,21.36,2,1
2458598.8931944,584,21.52,1,1
2458598.8931944,584,21.5,1,1
2458598.8931944,584,21.48,1,1
2458598.8931944,584,21.46,1,1
2458598.8931944,584,21.49,1,1
2458598.8931944,584,21.49,1,1
2458598.8931944,584,21.52,1,1
2458598.8931944,584,21.47,1,1
2458598.8931944,584,21.5,1,1
2458598.8931944,584,21.52,1,1
2458598.8931944,584,21.54,1,1
2458598.8931944,584,21.49,1,1
2458598.8931944,584,21.46,1,1
2458598.8931944,584,21.49,1,1
2458598.8931944,584,21.49,1,1
2458598.8931944,584,21.54,1,1
2458598.8931944,584,21.43,1,1
2458598.8931944,584,21.54,1,1
2458598.8931944,584,21.27,1,1
2458598.8931944,584,21.57,1,1
2458598.8931944,584,21.27,1,1
2458598.8931944,584,21.4,1,1
